No,Title,Authors,Journal,SCOPUS Q,Tahun,Volume / Issue,LINK DOI/ARTIKEL,SCOPUS SITASI,journal_key,q_clean
1,Ethnic identity and internal migration decision in Indonesia,ILMIAWAN AUWALIN,Journal of Ethnic and Migration Studies,Q1,2019,"Vol. 14, Issue 13",10.1080/1369183X.2018.1561252,24,journal of ethnic and migration studies,Q1
2,The role of service quality within Indonesian customers satisfaction and loyalty and its impact on Islamic banks,BADRI MUNIR SUKOCO,Journal of Islamic Marketing,Q2,2020,"Vol. 11, Issue 1",10.1108/JIMA-03-2017-0033,60,journal of islamic marketing,Q2
3,Developing Islamic crowdfunding website platform for startup companies in Indonesia,MUHAMAD NAFIK HADI RYANDONO,Journal of Islamic Marketing,Q2,2020,"Vol. 11, Issue 5",10.1108/JIMA-02-2019-0022,48,journal of islamic marketing,Q2
4,Developing Islamic crowdfunding website platform for startup companies in Indonesia,ACHSANIA HENDRATMI,Journal of Islamic Marketing,Q2,2020,"Vol. 11, Issue 5",10.1108/JIMA-02-2019-0022,48,journal of islamic marketing,Q2
5,Developing Islamic crowdfunding website platform for startup companies in Indonesia,PUJI SUCIA SUKMANINGRUM,Journal of Islamic Marketing,Q2,2020,"Vol. 11, Issue 5",10.1108/JIMA-02-2019-0022,48,journal of islamic marketing,Q2
6,Exploration of pilgrimage tourism in Indonesia,MASMIRA KURNIAWATI,Journal of Islamic Marketing,Q2,2020,"Vol. 11, Issue 3",10.1108/JIMA-10-2018-0188,33,journal of islamic marketing,Q2
7,Exploration of pilgrimage tourism in Indonesia,TANTI HANDRIANA,Journal of Islamic Marketing,Q2,2020,"Vol. 11, Issue 3",10.1108/JIMA-10-2018-0188,33,journal of islamic marketing,Q2
8,Exploration of pilgrimage tourism in Indonesia,PRAPTINI YULIANTI,Journal of Islamic Marketing,Q2,2020,"Vol. 11, Issue 3",10.1108/JIMA-10-2018-0188,33,journal of islamic marketing,Q2
9,A critical assessment of retail sovereign sukuk in Indonesia,RADITYA SUKMANA,Qualitative Research in Financial Markets,Q2,2020,Vol. 12 Issue 2,10.1108/QRFM-10-2018-0109,9,qualitative research in financial markets,Q2
10,The impact of auditors’ awareness of the profession’s reputation for independence on auditors’ ethical judgement,DAMAI NASUTION,Social Responsibility Journal,Q1,2020,"Vol. 16, Issue 8",10.1108/SRJ-05-2018-0117,5,social responsibility journal,Q1
11,Exploring the role of visual aesthetics and presentation modality in luxury fashion brand communication on Instagram,SONY KUSUMASONDJAJA,Journal of Fashion Marketing and Management,Q1,2020,"Vol. 24, Issue 1",10.1108/JFMM-02-2019-0019,83,journal of fashion marketing and management,Q1
12,"Anger punishes, compassion forgives: How discrete emotions mitigate double standards in consumer ethical judgment",SONY KUSUMASONDJAJA,Journal of Retailing and Consumer Services,Q1,2020,Vol. 53,10.1016/j.jretconser.2019.101979,39,journal of retailing and consumer services,Q1
13,Managing paradoxes of innovation in an Indonesian TV group,BADRI MUNIR SUKOCO,Creative Industries Journal,Q1,2020,"Vol. 13, Issue 2",10.1080/17510694.2019.1684094,4,creative industries journal,Q1
14,Competitiveness and cost behaviour: evidence from the retail industry,NOORLAILIE SOEWARNO,Journal of Applied Accounting Research,Q1,2020,"Vol. 21, Issue 1",10.1108/JAAR-08-2018-0120,14,journal of applied accounting research,Q1
15,Effects of Halal social media and customer engagement on brand satisfaction of Muslim customer: Exploring the moderation of religiosity,INDRIANAWATI USMAN,Journal of Islamic Marketing,Q2,2020,"Vol. 11, Issue 6",10.1108/JIMA-06-2019-0119,29,journal of islamic marketing,Q2
16,Effects of Halal social media and customer engagement on brand satisfaction of Muslim customer: Exploring the moderation of religiosity,RADITYA SUKMANA,Journal of Islamic Marketing,Q2,2020,"Vol. 11, Issue 6",10.1108/JIMA-06-2019-0119,29,journal of islamic marketing,Q2
17,Effects of Halal social media and customer engagement on brand satisfaction of Muslim customer: Exploring the moderation of religiosity,BAYU ARIE FIANTO,Journal of Islamic Marketing,Q2,2020,"Vol. 11, Issue 6",10.1108/JIMA-06-2019-0119,29,journal of islamic marketing,Q2
18,Islamic microfinance institution: Survey data from Indonesia,BAYU ARIE FIANTO,Journal Data in Brief,Q2,2020,Vol. 8,10.1016/j.dib.2019.104911,4,journal data in brief,Q2
19,Explaining regional inflation programmes in Indonesia: Does inflation rate converge?,RUDI PURWONO,Economic Change and Restructuring,Q2,2020,Vol. 53,10.1007/s10644-020-09264-x,12,economic change and restructuring,Q2
20,Explaining regional inflation programmes in Indonesia: Does inflation rate converge?,M. KHOERUL MUBIN,Economic Change and Restructuring,Q2,2020,Vol. 53,10.1007/s10644-020-09264-x,12,economic change and restructuring,Q2
21,The impact of exchange rate volatility on Indonesia's top exports to the five main export markets,LILIK SUGIHARTI,Heliyon,Q1,2020,"Vol. 6, Issue 1",10.1016/j.heliyon.2019.e03141,75,heliyon,Q1
22,The impact of exchange rate volatility on Indonesia's top exports to the five main export markets,MIGUEL ANGEL ESQUIVIAS PADILLA,Heliyon,Q1,2020,"Vol. 6, Issue 1",10.1016/j.heliyon.2019.e03141,75,heliyon,Q1
23,Analysis of twin deficits hypothesis in Indonesia and its impact on financial crisis,ROSSANTO DWI HANDOYO,Heliyon,Q1,2020,"Vol. 6, Issue 1",10.1016/j.heliyon.2020.e03248,16,heliyon,Q1
24,Analysis of twin deficits hypothesis in Indonesia and its impact on financial crisis,Angga Erlando,Heliyon,Q1,2020,"Vol. 6, Issue 1",10.1016/j.heliyon.2020.e03248,16,heliyon,Q1
25,"Earnings management, business strategy, and bankruptcy risk: evidence from Indonesia",DIAN AGUSTIA,Heliyon,Q1,2020,"Vol. 6, Issue 2",10.1016/j.heliyon.2020.e03317,91,heliyon,Q1
26,"Earnings management, business strategy, and bankruptcy risk: evidence from Indonesia",YANI PERMATASARI,Heliyon,Q1,2020,"Vol. 6, Issue 2",10.1016/j.heliyon.2020.e03317,91,heliyon,Q1
27,Characteristics of auditors’ non-audit services and accruals quality in Malaysia,IMAN HARYMAWAN,Pacific Accounting Review,Q2,2020,"Vol. 32, Issue 2",10.1108/PAR-10-2018-0072,10,pacific accounting review,Q2
28,Characteristics of auditors’ non-audit services and accruals quality in Malaysia,DIAN AGUSTIA,Pacific Accounting Review,Q2,2020,"Vol. 32, Issue 2",10.1108/PAR-10-2018-0072,10,pacific accounting review,Q2
29,"Board meeting, loss, and corporate social responsibility disclosure",IMAN HARYMAWAN,JOURNAL OF SECURITY AND SUSTAINABILITY ISSUES,no-Q,2020,Vol. 9,10.9770/jssi.2020.9.J(11),6,journal of security and sustainability issues,no-Q
